sample_id,Compound,Unit,pos,fit_ok,p_trend,ED,SE,Lower,Upper
ASC397cse,H2O2,mM,A2,TRUE,NA,1361.0814223762636,73682.24131245389,-152857.62202730737,155579.7848720599
ASC397cse,KBrO3,mM,A3,TRUE,NA,2.6589274735355217,NA,NA,NA
ASC397cse,Menadione,mM,A4,TRUE,NA,0.03292596297386826,3.7481382520496257e-4,0.03214146862178948,0.03371045732594704
ASC397cse,RSL3,mM,B2,TRUE,NA,8.453280974439802e-4,4.352876773725368e-5,7.542213395111559e-4,9.364348553768045e-4
ASC397cse,RSL3_CSE,mM,B1,TRUE,NA,1.7765629657066242e-4,2.0759157265268325e-5,1.342068810652108e-4,2.2110571207611403e-4
P676,CSE,%,A1,TRUE,NA,9.460753571670283,0.44616784172952495,8.526913546626949,10.394593596713618
P676,Erastin,mM,B4,TRUE,NA,3.289756370587542e-4,3.090155957557628e-5,2.642979295483416e-4,3.9365334456916676e-4
P676,Erastin_CSE,mM,B3,TRUE,NA,8.439059973304668e-5,4.783131447764406e-6,7.437939055747894e-5,9.440180890861443e-5
P676,H2O2,mM,A2,FALSE,NA,NA,NA,NA,NA
P676,KBrO3,mM,A3,TRUE,NA,1.6653616932747028,0.19450263227867948,1.2582630052696926,2.072460381279713
P676,Menadione,mM,A4,TRUE,NA,0.02906953465809582,NA,NA,NA
P676,RSL3,mM,B2,TRUE,NA,0.12986800246508695,NA,NA,NA
P676,RSL3_CSE,mM,B1,TRUE,NA,1.3440013367960104e-4,9.462688866477118e-6,1.1459449826268273e-4,1.5420576909651936e-4
P676cse,CSE,%,A1,TRUE,NA,11.432645199899097,0.668567561151232,10.03331721241247,12.831973187385724
P676cse,Erastin,mM,B4,TRUE,NA,4.256362806198529e-4,4.5530219257371224e-5,3.303404365116905e-4,5.209321247280152e-4
P676cse,Erastin_CSE,mM,B3,TRUE,NA,1.255488468207928e-4,8.959624542186717e-6,1.0679613713552898e-4,1.4430155650605665e-4
P676cse,H2O2,mM,A2,FALSE,NA,NA,NA,NA,NA
P676cse,KBrO3,mM,A3,TRUE,NA,3.0298555104463376,0.3177138514924778,2.3648727768538724,3.694838244038803
P676cse,Menadione,mM,A4,TRUE,NA,0.06285152244604444,0.005655984756429632,0.0510134102994705,0.07468963459261839
P676cse,RSL3,mM,B2,FALSE,NA,NA,NA,NA,NA
P676cse,RSL3_CSE,mM,B1,TRUE,NA,9.907252198459661e-5,6.155910769850259e-6,8.618805266650884e-5,1.1195699130268437e-4
P679,CSE,%,A1,TRUE,NA,9.444717825040197,0.8102369511296779,7.748872396555331,11.140563253525062
P679,Erastin,mM,B4,TRUE,NA,9.495372329692317e-4,1.4699533099408227e-4,6.418724693129062e-4,0.0012572019966255571
P679,Erastin_CSE,mM,B3,TRUE,NA,7.525118289276307e-5,3.500543403970856e-6,6.792446134475173e-5,8.257790444077441e-5
P679,H2O2,mM,A2,TRUE,NA,1598.5647712636728,2206.340533351101,-3019.3590372562394,6216.488579783585
P679,KBrO3,mM,A3,TRUE,NA,3.1829396681367896,0.4505625349785758,2.239901444411445,4.125977891862134
P679,Menadione,mM,A4,TRUE,NA,0.02617686513856008,0.0013007207641544843,0.02345442529111639,0.028899304986003772
P679,RSL3,mM,B2,TRUE,NA,0.02352919134057082,10,-20.90671135274252,20.953769735423663
P679,RSL3_CSE,mM,B1,TRUE,NA,1.6525878839254447e-5,5.73214377560657e-7,1.5326127358687305e-5,1.772563031982159e-5
P679cse,CSE,%,A1,TRUE,NA,9.877583425792366,3.3010280099031526,2.968452396789478,16.786714454795256
P679cse,Erastin,mM,B4,TRUE,NA,7.287543769016135e-4,5.789161654807686e-5,6.075858309179065e-4,8.499229228853205e-4
P679cse,Erastin_CSE,mM,B3,TRUE,NA,5.259474125665017e-5,1.0687842260842362e-6,5.035775016248369e-5,5.4831732350816645e-5
P679cse,H2O2,mM,A2,FALSE,NA,NA,NA,NA,NA
P679cse,KBrO3,mM,A3,TRUE,NA,3.2271911426519813,0.4411022746481632,2.303953471359155,4.150428813944807
P679cse,Menadione,mM,A4,TRUE,NA,0.03204827704687239,0.002182637454459332,0.027479964352636485,0.03661658974110829
P679cse,RSL3,mM,B2,FALSE,NA,NA,NA,NA,NA
P679cse,RSL3_CSE,mM,B1,TRUE,NA,3.097553090460156e-5,2.2419128003536887e-6,2.6283153485575397e-5,3.566790832362772e-5
