sample,metric,contrast,group1,group2,group1_label,group2_label,n_nuclei_g1,n_nuclei_g2,median_g1,median_g2,diff_median,p_value,p_adj_BH,sig,sig_adj
ASC399cse,tail_dna_percent,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,19,43,22.903746213403142,48.40876184468942,-25.50501563128628,0.027897158861841815,0.08968839976909564,*,ns
ASC399cse,tail_length,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,19,43,38,72,-34,0.030712738226648464,0.11510492318433349,*,ns
ASC399cse,olive_moment,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,19,15,7.100161326154977,6.15637425356163,0.9437870725933468,0.6028782026438425,0.7247377449751937,ns,ns
ASC399cse,tail_dna_percent,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,19,15,22.903746213403142,16.785478688315276,6.118267525087866,0.4454295381571297,0.5703022823862229,ns,ns
ASC399cse,tail_length,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,19,15,38,27,11,0.4048815145211718,0.5061018931514648,ns,ns
ASC399cse,olive_moment,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,30,16,7.652946166688203,5.304451867775452,2.348494298912751,0.16998090357703796,0.3187141942069462,ns,ns
ASC399cse,tail_dna_percent,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,30,16,19.264525199022657,17.202480225341116,2.062044973681541,0.326992631686817,0.5449877194780284,ns,ns
ASC399cse,tail_length,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,30,16,46.5,31,15.5,0.27831696302267656,0.41747544453401486,ns,ns
ASC399cse,olive_moment,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,30,43,7.652946166688203,23.247683682090162,-15.59473751540196,0.07193759798831699,0.1541519956892507,ns,ns
ASC399cse,tail_dna_percent,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,30,43,19.264525199022657,48.40876184468942,-29.144236645666766,0.0418545865589113,0.08968839976909564,*,ns
ASC399cse,tail_length,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,30,43,46.5,72,-25.5,0.171301629467802,0.32119055525212875,ns,ns
ASC399cse,olive_moment,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,30,15,7.652946166688203,6.15637425356163,1.496571913126573,0.2149849049655124,0.35830817494252065,ns,ns
ASC399cse,tail_dna_percent,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,30,15,19.264525199022657,16.785478688315276,2.4790465107073807,0.36658220941051173,0.5498733141157676,ns,ns
ASC399cse,tail_length,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,30,15,46.5,27,19.5,0.15182612151876018,0.32119055525212875,ns,ns
ASC399cse,olive_moment,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,16,43,5.304451867775452,23.247683682090162,-17.94323181431471,0.017385346577076074,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,16,43,17.202480225341116,48.40876184468942,-31.206281619348307,0.023876776498424623,0.08968839976909564,*,ns
ASC399cse,tail_length,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,16,43,31,72,-41,0.0460419692737334,0.11510492318433349,*,ns
ASC399cse,olive_moment,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,16,15,5.304451867775452,6.15637425356163,-0.8519223857861782,0.7368768981757916,0.7368768981757916,ns,ns
ASC399cse,tail_dna_percent,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,16,15,17.202480225341116,16.785478688315276,0.41700153702583975,1,1,ns,ns
ASC399cse,tail_length,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,16,15,31,27,4,0.6493143247363187,0.6956939193603414,ns,ns
ASC399cse,olive_moment,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,43,15,23.247683682090162,6.15637425356163,17.091309428528533,0.02525628242450398,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,43,15,48.40876184468942,16.785478688315276,31.623283156374146,0.03940963851683258,0.08968839976909564,*,ns
ASC399cse,tail_length,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,43,15,72,27,45,0.04200542102993982,0.11510492318433349,*,ns
