file_name,flag,olive_moment,tail_dna_percent,tail_length,condition_code,sample,pre_code,acute_code,pre_label,acute_label,condition_factor
9_SX_3.tif,normal,2.9618605522997785,14.104097868094183,18,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,1.6787525867462347,11.191683911641562,10,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,19.39495094846827,48.487377371170666,90,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_SX_3.tif,normal,18.786837941821577,56.92981194491389,54,SX,ASC399,S,X,SFN pre,Acute CSE,SFN-CSE
9_CC_2.tif,normal,0.8719939689724494,5.129376288073232,5,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,2.7812951634297476,14.638395596998672,11,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,0.9777600347281438,2.6425946884544436,1,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,6.35689163498099,26.487048479087456,23,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,12.841898622017167,42.806328740057246,35,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,5.516271486910001,20.4306351367037,20,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,4.521308821829116,18.838786757621314,14,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,1.3578722347285412,6.172146521493368,7,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,6.737608560184587,32.083850286593275,26,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,1.478883604785128,7.394418023925639,6,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,2.2073780954812356,6.13160582078121,7,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,7.265360726230291,25.94771687939389,24,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,0.1476804767215407,0.27864240890856734,1,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
9_CC_2.tif,normal,0.646065061536079,1.4044892642088673,5,CC,ASC399,C,C,Control pre,Control acute,CTL-CTL
